nta_code,nta_name,borough,cluster,cluster_name,urban_pressure_score,pressure_level,airbnb_per_1000_residents,evictions_per_1000_renter_units,complaints_per_1000_residents,violations_per_1000_residents,poverty_rate_pct,rent_burden_rate_pct
BX0502,Mount Hope,Bronx,0,Housing-condition and socioeconomic pressure,70.59009049436233,High,0.5286306352025713,16.07501674480911,303.7088725365812,295.3987989511968,31.7,61.7
BX0201,Hunts Point,Bronx,0,Housing-condition and socioeconomic pressure,67.57670535714509,High,1.339820887102461,31.666666666666668,175.16395176644806,218.8844228192652,29.4,62.9
BX0603,Belmont,Bronx,0,Housing-condition and socioeconomic pressure,66.78004486275375,High,0.7641087217552669,13.493377483443707,192.03689553542188,210.56653203798712,40.0,66.4
BX0402,Highbridge,Bronx,0,Housing-condition and socioeconomic pressure,66.38647704415396,High,0.8526226039725897,15.19409801510627,280.2286291723245,225.0923674487637,33.7,58.2
BX1201,Williamsbridge-Olinville,Bronx,0,Housing-condition and socioeconomic pressure,62.81791748673792,High,0.8827041902487149,22.055847834884663,196.2891808158956,181.45628883465739,24.5,62.0
MN0902,Manhattanville-West Harlem,Manhattan,0,Housing-condition and socioeconomic pressure,58.17449990992457,High,15.00449236298293,0.0,199.46091644204853,270.53009883198564,29.1,54.0
BX0503,Fordham Heights,Bronx,0,Housing-condition and socioeconomic pressure,57.514551444149134,High,0.459460287315833,0.0,247.46531074830767,225.80941587282138,32.6,63.7
BX0703,Norwood,Bronx,0,Housing-condition and socioeconomic pressure,57.369587813979585,High,0.5815864667357827,11.700852893494044,218.6765114926543,194.452170834703,27.8,58.1
BX0601,West Farms,Bronx,0,Housing-condition and socioeconomic pressure,57.072845956661965,High,0.11174432897530451,0.0,207.73270756509106,205.33020449212202,44.9,61.7
BX0401,Concourse-Concourse Village,Bronx,0,Housing-condition and socioeconomic pressure,55.01420842258929,High,1.1824931145970543,0.0,217.0847802658364,218.74625793318165,32.8,62.7
BK0104,East Williamsburg,Brooklyn,1,Short-term rental / high-income pressure,39.989426143816004,High,31.756469268556838,1.8069053083947844,56.66653773256488,67.90314470274244,23.3,47.0
MN0303,East Village,Manhattan,1,Short-term rental / high-income pressure,37.97842275462022,High,26.881248903701103,0.9260211955962547,72.45804829562066,76.12699526398877,22.3,46.6
MN0201,SoHo-Little Italy-Hudson Square,Manhattan,1,Short-term rental / high-income pressure,35.28292136273133,High,34.9618802724771,0.0,75.02142824919926,93.15649388730996,9.9,42.9
MN0402,Hell's Kitchen,Manhattan,1,Short-term rental / high-income pressure,32.869534945589294,Medium,30.658626247261004,0.0,71.78428496405354,63.743865558392635,12.3,43.8
BK0102,Williamsburg,Brooklyn,1,Short-term rental / high-income pressure,32.85557041034389,Medium,34.421167352869944,0.48687467034527526,61.622063453620726,84.61491886655365,12.8,37.2
MN0502,Midtown-Times Square,Manhattan,1,Short-term rental / high-income pressure,30.10720755540796,Medium,35.491366349264204,0.0,55.720078363478976,37.997175269943966,12.8,39.0
BK0204,Clinton Hill,Brooklyn,1,Short-term rental / high-income pressure,30.007545006310316,Medium,20.831122900088417,7.465519423003922,49.796640141467726,72.32537577365164,10.0,40.7
BK0801,Prospect Heights,Brooklyn,1,Short-term rental / high-income pressure,27.713490287616782,Medium,18.730400881430633,1.450536698578474,78.77786253072294,128.31595897957453,6.4,38.7
BK0101,Greenpoint,Brooklyn,1,Short-term rental / high-income pressure,26.61951849322819,Medium,25.977005633874626,1.2108080550599032,46.396614576694624,85.85922961225687,9.1,36.9
BK0203,Fort Greene,Brooklyn,1,Short-term rental / high-income pressure,25.452970195461834,Medium,14.786232443278283,3.638825421003639,24.54082420126563,46.457786695477694,16.3,44.4
BK1702,East Flatbush-Farragut,Brooklyn,2,Lower-pressure residential neighborhoods,39.57700946741549,High,2.471289431603431,21.41920442954976,77.91830207879052,62.30556766971944,12.8,54.5
QN1401,Far Rockaway-Bayswater,Queens,2,Lower-pressure residential neighborhoods,38.55170352912182,High,0.7806028165424074,12.512370988265234,72.03848849805645,72.86688332377493,20.0,60.6
SI0106,Port Richmond,Staten Island,2,Lower-pressure residential neighborhoods,37.91912658771505,High,1.2442572741194486,10.67378252168112,48.19104134762634,40.05551301684533,22.1,67.7
MN0302,Lower East Side,Manhattan,2,Lower-pressure residential neighborhoods,34.80625598015343,High,17.025614331880192,5.163193804167435,59.57880582124189,49.51525798685666,22.6,48.8
QN1202,South Jamaica,Queens,2,Lower-pressure residential neighborhoods,34.674419416060374,High,0.9051664113633198,16.597510373443985,48.15949496356125,47.2775379473611,12.7,59.4
BX0904,Parkchester,Bronx,2,Lower-pressure residential neighborhoods,34.645450240410874,High,0.8041278563291563,10.881956679448649,73.27615090799438,48.95128325403739,22.4,55.2
BK1202,Borough Park,Brooklyn,2,Lower-pressure residential neighborhoods,34.50183448501378,High,0.428603654410106,3.3056736153275312,25.547033611549743,52.41371531694113,32.4,64.4
QN1304,Cambria Heights,Queens,2,Lower-pressure residential neighborhoods,33.92977466247906,High,1.2014417300760913,26.82403433476395,17.020424509411292,11.814177012414898,6.1,61.9
MN0301,Chinatown-Two Bridges,Manhattan,2,Lower-pressure residential neighborhoods,33.83576720023561,High,13.593334880961592,0.0,35.3633057339627,50.06577420103691,30.2,54.8
QN1205,St. Albans,Queens,2,Lower-pressure residential neighborhoods,33.4914624011764,Medium,1.5160265665607855,23.671497584541065,24.527144094715567,20.8273173548946,9.0,55.7
