nta_code,nta_name,borough,nta_type,nta_code_clean,nta_name_clean,acs_nta_name,acs_borough,population,median_household_income,poverty_rate_pct,unemployment_rate_pct,renter_occupied_units,rent_burden_rate_pct,airbnb_count,avg_airbnb_price,median_airbnb_price,entire_home_share,high_availability_share,avg_minimum_nights,avg_number_of_reviews,eviction_count,complaint_problem_count,unique_complaints,violation_count,class_c_violation_count,airbnb_per_1000_residents,evictions_per_1000_renter_units,complaints_per_1000_residents,violations_per_1000_residents,class_c_violations_per_1000_residents,urban_pressure_score,pressure_level,high_pressure
BK0101,Greenpoint,Brooklyn,0,BK0101,GREENPOINT,Greenpoint,Brooklyn,39227,124903.0,9.1,7.4,15692,36.9,1019.0,137.30127576054957,119.0,0.5534838076545633,0.19332679097154074,6.207065750736016,16.986261040235526,19.0,1820.0,1160.0,3368.0,574.0,25.977005633874626,1.2108080550599032,46.396614576694624,85.85922961225687,14.632778443419074,26.61951849322819,Medium,0
BK0102,Williamsburg,Brooklyn,0,BK0102,WILLIAMSBURG,Williamsburg,Brooklyn,66064,145388.0,12.8,6.9,24647,37.2,2274.0,158.17018469656992,125.5,0.544415127528584,0.18865435356200527,6.486807387862797,24.061125769569042,12.0,4071.0,2367.0,5590.0,1133.0,34.421167352869944,0.48687467034527526,61.622063453620726,84.61491886655365,17.150036328408813,32.85557041034389,Medium,0
BK0103,South Williamsburg,Brooklyn,0,BK0103,SOUTH WILLIAMSBURG,South Williamsburg,Brooklyn,46005,43465.0,43.3,9.7,9136,63.7,95.0,109.28421052631579,85.0,0.35789473684210527,0.23157894736842105,4.157894736842105,26.49473684210526,0.0,663.0,394.0,2100.0,273.0,2.064992935550484,0.0,14.411477013368113,45.64721225953701,5.934137593739811,36.11474534197458,High,0
BK0104,East Williamsburg,Brooklyn,0,BK0104,EAST WILLIAMSBURG,East Williamsburg,Brooklyn,51706,79033.0,23.3,7.4,20477,47.0,1642.0,118.6272838002436,95.0,0.4110840438489647,0.18635809987819732,6.110840438489647,18.443361753958587,37.0,2930.0,1729.0,3511.0,669.0,31.756469268556838,1.8069053083947844,56.66653773256488,67.90314470274244,12.938537113681198,39.989426143816004,High,1
BK0201,Brooklyn Heights,Brooklyn,0,BK0201,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,24936,186162.0,4.1,4.1,6251,32.2,164.0,196.48170731707316,150.0,0.8170731707317073,0.17682926829268292,7.25,17.567073170731707,0.0,464.0,316.0,665.0,120.0,6.57683670195701,0.0,18.60763554700032,26.668270773179337,4.8123195380173245,6.684727311467835,Low,0
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,0,BK0202,DOWNTOWN BROOKLYN-DUMBO-BOERUM HILL,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,40031,163331.0,15.2,5.6,14484,39.5,338.0,170.15680473372782,150.0,0.7011834319526628,0.17455621301775148,7.890532544378698,22.281065088757398,0.0,899.0,549.0,1194.0,223.0,8.443456321350952,0.0,22.457595363593214,29.826884164772302,5.570682720891309,16.019021461168467,Low,0
BK0203,Fort Greene,Brooklyn,0,BK0203,FORT GREENE,Fort Greene,Brooklyn,32395,112875.0,16.3,7.7,11817,44.4,479.0,147.98538622129436,128.0,0.6200417536534447,0.23382045929018788,7.18580375782881,21.384133611691023,43.0,795.0,490.0,1505.0,282.0,14.786232443278283,3.638825421003639,24.54082420126563,46.457786695477694,8.70504707516592,25.452970195461834,Medium,0
BK0204,Clinton Hill,Brooklyn,0,BK0204,CLINTON HILL,Clinton Hill,Brooklyn,28275,126617.0,10.0,7.5,7903,40.7,589.0,150.49235993208828,120.0,0.5925297113752123,0.2597623089983022,6.98641765704584,25.71477079796265,59.0,1408.0,839.0,2045.0,355.0,20.831122900088417,7.465519423003922,49.796640141467726,72.32537577365164,12.5552608311229,30.007545006310316,Medium,0
BK0301,Bedford-Stuyvesant (West),Brooklyn,0,BK0301,BEDFORD-STUYVESANT (WEST),Bedford-Stuyvesant (West),Brooklyn,87758,80096.0,26.7,7.7,27391,50.6,1768.0,107.33880090497738,80.0,0.4321266968325792,0.31221719457013575,6.129524886877828,26.455882352941178,0.0,6738.0,3632.0,10873.0,2367.0,20.14631144738941,0.0,76.77932496182683,123.89753640693726,26.971899997721007,40.919827908533506,High,1
BK0302,Bedford-Stuyvesant (East),Brooklyn,0,BK0302,BEDFORD-STUYVESANT (EAST),Bedford-Stuyvesant (East),Brooklyn,92525,75517.0,24.3,8.6,27282,51.2,1678.0,102.22943980929678,80.0,0.4445768772348033,0.3110846245530393,5.358760429082241,32.908224076281286,0.0,9791.0,5901.0,12891.0,3030.0,18.135639016482035,0.0,105.82004863550391,139.32450689002974,32.74790597135909,42.10234701718654,High,1
BK0401,Bushwick (West),Brooklyn,0,BK0401,BUSHWICK (WEST),Bushwick (West),Brooklyn,52167,90813.0,18.6,7.9,19264,53.4,1386.0,84.02164502164503,67.0,0.28066378066378067,0.19985569985569984,6.044733044733045,18.91991341991342,0.0,5490.0,3022.0,9040.0,2311.0,26.568520328943585,0.0,105.23894416010121,173.28962754231603,44.300036421492514,46.777947915542164,High,1
BK0402,Bushwick (East),Brooklyn,0,BK0402,BUSHWICK (EAST),Bushwick (East),Brooklyn,59808,75673.0,23.5,7.9,17832,57.5,1073.0,84.31500465983224,63.0,0.2674743709226468,0.287977632805219,5.628145386766076,24.56756756756757,0.0,4903.0,2648.0,8316.0,2066.0,17.940743713215625,0.0,81.97899946495451,139.04494382022472,34.54387372926699,42.867689636159724,High,1
BK0501,Cypress Hills,Brooklyn,0,BK0501,CYPRESS HILLS,Cypress Hills,Brooklyn,41071,63480.0,17.3,6.8,9317,55.2,111.0,98.28828828828829,70.0,0.3963963963963964,0.45045045045045046,7.153153153153153,33.36036036036036,0.0,2886.0,1515.0,3829.0,785.0,2.702636897080665,0.0,70.2685593240973,93.228798909206,19.113242920795695,28.26471682305909,Medium,0
BK0502,East New York (North),Brooklyn,0,BK0502,EAST NEW YORK (NORTH),East New York (North),Brooklyn,43029,56323.0,28.0,8.6,10490,56.7,99.0,80.84848484848484,70.0,0.4444444444444444,0.5858585858585859,7.292929292929293,32.76767676767677,0.0,4069.0,1955.0,6117.0,1479.0,2.3007738966743356,0.0,94.56413116735226,142.15993864602942,34.37216760789235,37.886712626199895,High,0
BK0503,East New York-New Lots,Brooklyn,0,BK0503,EAST NEW YORK-NEW LOTS,East New York-New Lots,Brooklyn,51572,56229.0,24.0,11.7,14320,54.6,86.0,85.40697674418605,73.5,0.4069767441860465,0.36046511627906974,2.686046511627907,30.53488372093023,0.0,5306.0,2720.0,7087.0,1799.0,1.6675715504537345,0.0,102.88528658962227,137.41952997750718,34.88326999146823,35.21950804409171,High,0
BK0504,Spring Creek-Starrett City,Brooklyn,0,BK0504,SPRING CREEK-STARRETT CITY,Spring Creek-Starrett City,Brooklyn,16047,35815.0,24.8,8.9,7695,53.7,2.0,84.5,84.5,0.5,1.0,3.0,45.0,0.0,503.0,369.0,377.0,109.0,0.12463388795413473,0.0,31.345422820464883,23.493487879354394,6.792546893500343,22.65455963419071,Medium,0
BK0505,East New York-City Line,Brooklyn,0,BK0505,EAST NEW YORK-CITY LINE,East New York-City Line,Brooklyn,49317,52685.0,23.0,6.3,12713,55.8,42.0,107.28571428571429,80.0,0.42857142857142855,0.4523809523809524,2.2142857142857144,22.571428571428573,0.0,3405.0,1854.0,5317.0,1176.0,0.8516333110286514,0.0,69.04312914410852,107.81272177950808,23.845732708802238,30.85322732257622,Medium,0
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,0,BK0601,CARROLL GARDENS-COBBLE HILL-GOWANUS-RED HOOK,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,62409,131836.0,12.4,7.1,18145,36.8,692.0,167.79046242774567,135.0,0.6864161849710982,0.23699421965317918,5.51878612716763,27.61994219653179,0.0,1559.0,985.0,3055.0,421.0,11.088144338156356,0.0,24.980371420788668,48.951273053566,6.745821916710731,16.230910933498052,Low,0
BK0602,Park Slope,Brooklyn,0,BK0602,PARK SLOPE,Park Slope,Brooklyn,58600,195859.0,4.7,4.8,14544,32.2,688.0,165.43168604651163,144.0,0.6991279069767442,0.24273255813953487,8.306686046511627,31.763081395348838,0.0,1535.0,1010.0,2954.0,434.0,11.740614334470989,0.0,26.194539249146757,50.40955631399317,7.406143344709897,11.390852620639205,Low,0
BK0701,Windsor Terrace-South Slope,Brooklyn,0,BK0701,WINDSOR TERRACE-SOUTH SLOPE,Windsor Terrace-South Slope,Brooklyn,25602,143449.0,8.2,6.9,6252,43.3,243.0,139.54320987654322,123.0,0.7160493827160493,0.24691358024691357,9.320987654320987,28.08230452674897,0.0,659.0,426.0,923.0,203.0,9.491445980782752,0.0,25.740176548707133,36.05187094758222,7.929068041559254,15.869018360786855,Low,0
BK0702,Sunset Park (West),Brooklyn,0,BK0702,SUNSET PARK (WEST),Sunset Park (West),Brooklyn,51327,83835.0,17.5,5.5,12562,50.2,296.0,119.52364864864865,90.0,0.5202702702702703,0.24324324324324326,6.9391891891891895,18.195945945945947,0.0,3046.0,1574.0,4867.0,1129.0,5.766945272468681,0.0,59.34498412141758,94.82338730103064,21.996220312895748,26.943181122995448,Medium,0
BK0703,Sunset Park (Central),Brooklyn,0,BK0703,SUNSET PARK (CENTRAL),Sunset Park (Central),Brooklyn,43324,58683.0,26.3,7.6,9834,60.8,107.0,70.80373831775701,58.0,0.308411214953271,0.3177570093457944,4.757009345794392,25.626168224299064,0.0,2632.0,1350.0,3429.0,872.0,2.4697627181239037,0.0,60.751546486935645,79.14781645277444,20.12741205798172,32.979752948031035,Medium,0
BK0801,Prospect Heights,Brooklyn,0,BK0801,PROSPECT HEIGHTS,Prospect Heights,Brooklyn,23598,156985.0,6.4,4.6,6894,38.7,442.0,149.65610859728505,125.0,0.6108597285067874,0.19683257918552036,5.782805429864253,27.807692307692307,10.0,1859.0,1167.0,3028.0,705.0,18.730400881430633,1.450536698578474,78.77786253072294,128.31595897957453,29.875413170607676,27.713490287616782,Medium,0
BK0802,Crown Heights (North),Brooklyn,0,BK0802,CROWN HEIGHTS (NORTH),Crown Heights (North),Brooklyn,86121,78094.0,19.8,8.6,31181,48.8,1089.0,108.47658402203857,85.0,0.4820936639118457,0.2460973370064279,5.639118457300276,24.33700642791552,0.0,12966.0,6894.0,16816.0,4097.0,12.644999477479361,0.0,150.55561361340438,195.26015722065466,47.57260133997515,42.883378471041624,High,1
BK0901,Crown Heights (South),Brooklyn,0,BK0901,CROWN HEIGHTS (SOUTH),Crown Heights (South),Brooklyn,52273,74676.0,19.1,9.2,17113,49.1,340.0,115.43235294117648,88.0,0.5117647058823529,0.25882352941176473,6.067647058823529,19.2,0.0,9401.0,5625.0,12268.0,3077.0,6.504313890536223,0.0,179.84427907332656,234.69094943852468,58.86404070935282,44.12470466953838,High,1
BK0902,Prospect Lefferts Gardens-Wingate,Brooklyn,0,BK0902,PROSPECT LEFFERTS GARDENS-WINGATE,Prospect Lefferts Gardens-Wingate,Brooklyn,45402,73114.0,16.1,6.9,15375,48.8,540.0,105.39259259259259,80.0,0.5092592592592593,0.27037037037037037,5.2,25.985185185185184,194.0,8140.0,4744.0,9321.0,2295.0,11.893749174045197,12.617886178861788,179.2872560680146,205.29932602088013,50.54843398969208,52.344716120618365,High,1
BK1001,Bay Ridge,Brooklyn,0,BK1001,BAY RIDGE,Bay Ridge,Brooklyn,84021,92738.0,11.7,6.7,22335,45.8,193.0,107.06735751295336,86.0,0.49222797927461137,0.38341968911917096,9.031088082901555,16.911917098445596,91.0,5194.0,3768.0,4271.0,909.0,2.2970447864224424,4.074322811730467,61.81787886361743,50.83252996274741,10.818723890455958,21.18549432154,Low,0
BK1002,Dyker Heights,Brooklyn,0,BK1002,DYKER HEIGHTS,Dyker Heights,Brooklyn,40173,75942.0,19.0,7.1,6905,57.5,13.0,91.23076923076923,75.0,0.5384615384615384,0.38461538461538464,2.3846153846153846,32.46153846153846,22.0,982.0,603.0,1568.0,275.0,0.3236004281482588,3.1860970311368577,24.444278495506936,39.03119010280537,6.845393672367012,24.708202759750016,Medium,0
BK1101,Bensonhurst,Brooklyn,0,BK1101,BENSONHURST,Bensonhurst,Brooklyn,96111,67567.0,18.0,7.2,23203,55.0,82.0,76.0,74.0,0.3780487804878049,0.32926829268292684,4.585365853658536,21.621951219512194,0.0,4697.0,2932.0,6661.0,1313.0,0.85318017708691,0.0,48.870576728990436,69.30528243385253,13.661287469696497,24.67659011269546,Medium,0
BK1102,Bath Beach,Brooklyn,0,BK1102,BATH BEACH,Bath Beach,Brooklyn,30826,67745.0,15.3,4.6,6460,60.9,12.0,81.83333333333333,75.0,0.6666666666666666,0.4166666666666667,4.583333333333333,48.833333333333336,25.0,1511.0,1068.0,1998.0,473.0,0.38928177512489454,3.869969040247678,49.01706351780964,64.81541555829494,15.34418996950626,28.407155145942557,Medium,0
BK1103,Gravesend (West),Brooklyn,0,BK1103,GRAVESEND (WEST),Gravesend (West),Brooklyn,55817,72131.0,20.2,9.1,11365,54.8,27.0,86.51851851851852,80.0,0.4074074074074074,0.2222222222222222,7.592592592592593,14.555555555555555,0.0,2577.0,1520.0,3028.0,577.0,0.4837235967536772,0.0,46.16872995682319,54.24870559148646,10.337352419513769,24.24351452207647,Medium,0
BK1201,Sunset Park (East)-Borough Park (West),Brooklyn,0,BK1201,SUNSET PARK (EAST)-BOROUGH PARK (WEST),Sunset Park (East)-Borough Park (West),Brooklyn,30883,62307.0,25.1,9.4,6876,56.7,88.0,58.40909090909091,49.5,0.13636363636363635,0.4772727272727273,2.9545454545454546,16.704545454545453,0.0,1870.0,957.0,2717.0,664.0,2.849464106466341,0.0,60.55111226240974,87.97720428714827,21.500501894246025,31.335540042425276,Medium,0
BK1202,Borough Park,Brooklyn,0,BK1202,BOROUGH PARK,Borough Park,Brooklyn,88660,54785.0,32.4,8.0,14823,64.4,38.0,69.07894736842105,56.0,0.3157894736842105,0.15789473684210525,2.973684210526316,20.13157894736842,49.0,2265.0,1235.0,4647.0,923.0,0.428603654410106,3.3056736153275312,25.547033611549743,52.41371531694113,10.410557184750733,34.50183448501378,High,0
BK1203,Kensington,Brooklyn,0,BK1203,KENSINGTON,Kensington,Brooklyn,37992,90851.0,11.9,5.0,9539,51.2,158.0,94.77848101265823,71.0,0.43037974683544306,0.20253164556962025,5.2215189873417724,16.40506329113924,0.0,2674.0,1728.0,3642.0,774.0,4.158770267424721,0.0,70.38323857654242,95.86228679722046,20.372710044219836,25.053675871975102,Medium,0
BK1204,Mapleton-Midwood (West),Brooklyn,0,BK1204,MAPLETON-MIDWOOD (WEST),Mapleton-Midwood (West),Brooklyn,37160,75418.0,18.1,5.6,6518,57.5,28.0,92.07142857142857,77.5,0.5357142857142857,0.25,6.142857142857143,8.428571428571429,0.0,1154.0,752.0,1909.0,384.0,0.7534983853606028,0.0,31.054897739504845,51.3724434876211,10.333692142088267,23.49978545882958,Medium,0
BK1301,Gravesend (South),Brooklyn,0,BK1301,GRAVESEND (SOUTH),Gravesend (South),Brooklyn,28037,57629.0,18.1,7.8,6676,58.4,23.0,59.608695652173914,40.0,0.21739130434782608,0.2608695652173913,6.043478260869565,14.08695652173913,0.0,682.0,499.0,663.0,91.0,0.8203445447087777,0.0,24.324999108321148,23.64732318008346,3.2457110247173375,21.799512827150778,Low,0
BK1302,Coney Island-Sea Gate,Brooklyn,0,BK1302,CONEY ISLAND-SEA GATE,Coney Island-Sea Gate,Brooklyn,52480,41393.0,27.6,12.6,15837,59.8,29.0,162.9655172413793,99.0,0.5517241379310345,0.3103448275862069,4.896551724137931,14.448275862068966,0.0,1768.0,972.0,2471.0,548.0,0.552591463414634,0.0,33.6890243902439,47.08460365853658,10.442073170731708,28.37638042277067,Medium,0
BK1303,Brighton Beach,Brooklyn,0,BK1303,BRIGHTON BEACH,Brighton Beach,Brooklyn,29628,44360.0,24.5,5.1,10272,67.6,70.0,104.05714285714286,85.0,0.4857142857142857,0.4714285714285714,4.314285714285714,18.728571428571428,61.0,1913.0,1263.0,2483.0,524.0,2.3626299446469554,5.938473520249221,64.5673012015661,83.80585932226273,17.68597272850007,39.92013934261469,High,1
BK1401,Flatbush,Brooklyn,0,BK1401,FLATBUSH,Flatbush,Brooklyn,68167,81304.0,14.9,5.3,22885,48.8,382.0,83.74083769633508,70.0,0.41361256544502617,0.20680628272251309,4.261780104712042,18.282722513089006,195.0,14429.0,7948.0,18696.0,4964.0,5.603884577581527,8.520865195542932,211.67133657048132,274.2676074933619,72.8211597987296,52.29869581388095,High,1
BK1402,Flatbush (West)-Ditmas Park-Parkville,Brooklyn,0,BK1402,FLATBUSH (WEST)-DITMAS PARK-PARKVILLE,Flatbush (West)-Ditmas Park-Parkville,Brooklyn,40527,88317.0,15.8,6.2,10698,53.5,198.0,116.05050505050505,80.0,0.46464646464646464,0.2777777777777778,8.282828282828282,24.045454545454547,0.0,3958.0,2471.0,4874.0,1295.0,4.885631801021542,0.0,97.6632862042589,120.26550201100501,31.954005971327756,31.416945499527355,Medium,0
BK1403,Midwood,Brooklyn,0,BK1403,MIDWOOD,Midwood,Brooklyn,50867,71847.0,16.9,5.5,12453,56.7,80.0,78.45,73.0,0.4375,0.2125,4.975,19.1625,61.0,3564.0,2256.0,5486.0,1353.0,1.5727288811999922,4.89841805187505,70.06507165745965,107.84988302828947,26.59877720329487,32.52577024085206,Medium,0
BK1501,Gravesend (East)-Homecrest,Brooklyn,0,BK1501,GRAVESEND (EAST)-HOMECREST,Gravesend (East)-Homecrest,Brooklyn,51220,71961.0,17.0,8.0,11525,56.6,62.0,78.80645161290323,62.0,0.3709677419354839,0.3870967741935484,4.387096774193548,24.741935483870968,0.0,2608.0,1590.0,2808.0,534.0,1.210464662241312,0.0,50.91761030847326,54.82233502538071,10.425614994142913,24.40522820536736,Medium,0
